"orgs_short","Freq"
"Pseudomonas savastanoi",29
"Snodgrassella alvi",29
"TPA_asm- Bacteroidetes",29
"TPA_asm- Balneolaceae",29
"Vibrio campbellii",29
"Bacillus mycoides",28
"Candidatus Planktophila sp.",28
"Candidatus Wildermuthbacteria bacterium",28
"Pseudomonas sp. NBRC",28
"Rhodococcus fascians",28
"TPA_asm- Ruminococcus",28
"Yersinia frederiksenii",28
"Bacillus weihenstephanensis",27
"Buchnera aphidicola",27
"Dehalococcoides mccartyi",27
"Morganella morganii",27
"Spirochaetes bacterium",27
"TPA_asm- Alcanivorax",27
"TPA_asm- Opitutae",27
"Aliivibrio fischeri",26
"Bdellovibrionales bacterium",26
"Bifidobacterium adolescentis",26
"Campylobacter lanienae",26
"Gallibacterium anatis",26
"Lactobacillus taiwanensis",26
"Mycobacterium kansasii",26
"Omnitrophica bacterium",26
"Raoultella ornithinolytica",26
"Streptococcus dysgalactiae",26
"Streptococcus gordonii",26
"Vibrio cyclitrophicus",26
"Vibrio splendidus",26
"Brachyspira hyodysenteriae",25
"Burkholderia thailandensis",25
"Comamonadaceae bacterium",25
"Comamonas testosteroni",25
"Lactobacillus helveticus",25
"Pseudomonas chlororaphis",25
"SAR324 cluster",25
"SAR86 cluster",25
"Sphingomonadales bacterium",25
"TPA_asm- Anaerolineales",25
"Candidatus Pelagibacter sp.",24
"Candidatus Sungbacteria bacterium",24
"Gamma proteobacterium",24
"Haemophilus parainfluenzae",24
"Lactobacillus gasseri",24
"Lactobacillus johnsonii",24
"Lactobacillus parabuchneri",24
"Leuconostoc pseudomesenteroides",24
"Micrococcus luteus",24
"Piscirickettsia salmonis",24
"Propionibacterium freudenreichii",24
"Pseudomonas sp. Irchel",24
"Bacillus atrophaeus",23
"Bradyrhizobium japonicum",23
"Corynebacterium jeikeium",23
"Enterobacter sp. MGH",23
"Histophilus somni",23
"Paenibacillus sp. FSL",23
"Rhodospirillales bacterium",23
"Streptobacillus moniliformis",23
"TPA_asm- Hyphomonas",23
"Vibrio metoecus",23
"Acetobacter pasteurianus",22
"Acinetobacter sp. ANC",22
"Bartonella henselae",22
"Campylobacter concisus",22
"Mycobacterium fortuitum",22
"Pediococcus acidilactici",22
"Rhodococcus erythropolis",22
"Rothia mucilaginosa",22
"TPA_asm- Clostridium",22
"TPA_asm- Gemmatimonadales",22
"Actinobacillus pleuropneumoniae",21
"Actinomyces naeslundii",21
"Bacillus coagulans",21
"Gallionellales bacterium",21
"Mycoplasma gallisepticum",21
"Pantoea agglomerans",21
"Staphylococcus equorum",21
"Staphylococcus pseudintermedius",21
"Streptococcus anginosus",21
"Streptomyces griseus",21
"TPA_asm- Acinetobacter",21
"TPA_asm- Micavibrio",21
"TPA_asm- Sphingobacterium",21
"Actinomyces oris",20
"Armatimonadetes bacterium",20
"Bacillus clausii",20
"Brucella canis",20
"Candidatus Nealsonbacteria bacterium",20
"Candidatus Ryanbacteria bacterium",20
"Clostridium beijerinckii",20
"Lactobacillus acidophilus",20
"Mesorhizobium loti",20
"Rhodobacterales bacterium",20
"Staphylococcus lugdunensis",20
"Streptococcus gallolyticus",20
"TPA_asm- Akkermansiaceae",20
"TPA_asm- Chitinophagaceae",20
"TPA_asm- Phycisphaerales",20
"Xanthomonas arboricola",20
"Xanthomonas fuscans",20
"Yersinia intermedia",20
"[Haemophilus] parasuis",19
"Bacteroides uniformis",19
"Bordetella genomosp.",19
"Bordetella holmesii",19
"Candidatus Beckwithbacteria bacterium",19
"Candidatus Buchananbacteria bacterium",19
"Chlamydiae bacterium",19
"Clostridium sporogenes",19
"Corynebacterium ulcerans",19
"Enterobacter xiangfangensis",19
"Haemophilus parasuis",19
"Hydrogenophilales bacterium",19
"Lactococcus garvieae",19
"Lonsdalea quercina",19
"Pseudoalteromonas luteoviolacea",19
"Pseudomonas fragi",19
"Sphingobacteriales bacterium",19
"Staphylococcus warneri",19
"TPA_asm- Thalassolituus",19
"Tropheryma whipplei",19
"Acinetobacter calcoaceticus",18
"Atribacteria bacterium",18
"Bacillus megaterium",18
"Brucella sp. CMUL",18
"Clostridium butyricum",18
"Enterococcus cecorum",18
"Leptospira weilii",18
"Tenericutes bacterium",18
"TPA_asm- Cyanobacteria",18
"TPA_asm- Pseudomonadaceae",18
"TPA_asm- Syntrophaceae",18
"Acinetobacter sp. CIP",17
"Acinetobacter sp. NIPH",17
"Bacillus safensis",17
"Bacteroides ovatus",17
"Finegoldia magna",17
"Helicobacter pullorum",17
"Lactobacillus kunkeei",17
"Lysinibacillus sphaericus",17
"Mycobacterium immunogenum",17
"Parabacteroides distasonis",17
"Pseudomonas denitrificans",17
"Pseudomonas psychrotolerans",17
"Streptococcus parauberis",17
"TPA_asm- Anaerolineaceae",17
"TPA_asm- Elusimicrobia",17
"TPA_asm- Flammeovirgaceae",17
"TPA_asm- Kandleria",17
"TPA_asm- Pseudomonas",17
"Treponema denticola",17
"Vibrio nigripulchritudo",17
"Xanthomonas phaseoli",17
"[Clostridium] clostridioforme",16
"Alcaligenes faecalis",16
"Alteromonas mediterranea",16
"Bartonella bacilliformis",16
"Beta proteobacterium",16
"Bifidobacterium pseudocatenulatum",16
"Brucella ovis",16
"Candidatus Sulcia muelleri",16
"Desulfobacteraceae bacterium",16
"Elizabethkingia meningoseptica",16
"Lactobacillus jensenii",16
"Lactobacillus sakei",16
"Microgenomates bacterium",16
"Mycobacterium colombiense",16
"Pseudomonas protegens",16
"Rhizobium phaseoli",16
"Rhizobium sp. JGI",16
"Shigella dysenteriae",16
"Staphylococcus cohnii",16
"Staphylococcus delphini",16
"Staphylococcus sciuri",16
"Streptomyces scabiei",16
"TPA_asm- Bdellovibrionaceae",16
"TPA_asm- Proteiniphilum",16
"TPA_asm- Syntrophomonas",16
"Variovorax paradoxus",16
"Xanthomonas vasicola",16
"Yersinia kristensenii",16
"Aeromonas caviae",15
"Bacteroides thetaiotaomicron",15
"Bradyrhizobium canariense",15
"Caldicellulosiruptor bescii",15
"Candidatus Aminicenantes bacterium",15
"Candidatus Jorgensenbacteria bacterium",15
"Candidatus Pacebacteria bacterium",15
"Candidatus Woykebacteria bacterium",15
"Enterococcus casseliflavus",15
"Flavobacteriales bacterium",15
"Lactobacillus aviarius",15
"Lactobacillus iners",15
"Lactobacillus ruminis",15
"Leptospira noguchii",15
"Mycobacterium chimaera",15
"Mycoplasma mycoides",15
"Pluralibacter gergoviae",15
"TPA_asm- Bacteriovoracaceae",15
"TPA_asm- Chthonomonas",15
"TPA_asm- Halieaceae",15
"TPA_asm- Saprospiraceae",15
"Vibrio crassostreae",15
"Xanthomonas albilineans",15
"Alteromonas macleodii",14
"Bacillus cytotoxicus",14
"Bacteroides vulgatus",14
"Bartonella quintana",14
"Brochothrix thermosphacta",14
"Candidatus Adlerbacteria bacterium",14
"Candidatus Lloydbacteria bacterium",14
"Candidatus Muproteobacteria bacterium",14
"Candidatus Portnoybacteria bacterium",14
"Chromobacterium violaceum",14
"Cronobacter malonaticus",14
"Enterobacter ludwigii",14
"Erwinia amylovora",14
"Lactobacillus curvatus",14
"Lentisphaerae bacterium",14
"Melissococcus plutonius",14
"Mycobacterium intracellulare",14
"Ruminococcus flavefaciens",14
"Selenomonas ruminantium",14
"Staphylococcus xylosus",14
"Streptococcus cristatus",14
"Streptococcus uberis",14
"TPA_asm- Atopobiaceae",14
"TPA_asm- Cellvibrionales",14
"TPA_asm- Cloacimonetes",14
"TPA_asm- Deltaproteobacteria",14
"TPA_asm- Fibrobacter",14
"TPA_asm- Ignavibacteria",14
"TPA_asm- Lachnoclostridium",14
"TPA_asm- Lachnospira",14
"TPA_asm- Porticoccaceae",14
"TPA_asm- Rhizobiales",14
"Ureaplasma urealyticum",14
"Acinetobacter junii",13
"Agrobacterium vitis",13
"Arcobacter butzleri",13
"Bacillus paralicheniformis",13
"Bradyrhizobium elkanii",13
"Candidatus Arthromitus sp.",13
"Candidatus Liptonbacteria bacterium",13
"Cryomorphaceae bacterium",13
"Desulfobacterales bacterium",13
"Dickeya solani",13
"Geobacillus stearothermophilus",13
"Gluconobacter oxydans",13
"Haemophilus haemolyticus",13
"Photobacterium angustum",13
"Rickettsia prowazekii",13
"Ruminococcaceae bacterium",13
"Serratia plymuthica",13
"Streptococcus intermedius",13
"Streptomyces albus",13
"TPA_asm- Mageeibacillus",13
"Vibrio coralliilyticus",13
"Xanthomonas gardneri",13
"Acinetobacter lwoffii",12
"Actinobacterium SCGC",12
"Actinomyces sp. oral",12
"Anaerolineae bacterium",12
"Anaplasma marginale",12
"Bacillus simplex",12
"Bacillus wiedmannii",12
"Burkholderia diffusa",12
"Candidatus Blackburnbacteria bacterium",12
"Candidatus Colwellbacteria bacterium",12
"Candidatus Jacksonbacteria bacterium",12
"Candidatus Marinimicrobia bacterium",12
"Candidatus Omnitrophica bacterium",12
"Chlamydia muridarum",12
"Clostridium difficile",12
"Dehalococcoidia bacterium",12
"Delta proteobacterium",12
"Flavobacterium columnare",12
"Hafnia alvei",12
"Methylophilales bacterium",12
"Moorella thermoacetica",12
"Mycobacterium conceptionense",12
"Mycoplasma hominis",12
"Mycoplasma ovipneumoniae",12
"Nitrospinae bacterium",12
"Orientia tsutsugamushi",12
"Photorhabdus luminescens",12
"Porphyromonas gulae",12
"Pseudomonas monteilii",12
"Ralstonia pickettii",12
"Salmonella bongori",12
"Sinorhizobium fredii",12
"Spirochaetales bacterium",12
"Streptococcus iniae",12
"Thiotrichales bacterium",12
"TPA_asm- Alteromonadaceae",12
"TPA_asm- Burkholderiales",12
"TPA_asm- Clostridiaceae",12
"TPA_asm- Marinobacter",12
"TPA_asm- Rhodobacteraceae",12
"TPA_asm- Rhodospirillaceae",12
"TPA_asm- Stenotrophomonas",12
"Vibrio owensii",12
"Wohlfahrtiimonas chitiniclastica",12
"Acidithiobacillus thiooxidans",11
"Acinetobacter haemolyticus",11
"Acinetobacter radioresistens",11
"Agrobacterium genomosp.",11
"Anoxybacillus flavithermus",11
"Bacillus aryabhattai",11
"Bacteroides xylanisolvens",11
"Bordetella hinzii",11
"Burkholderia gladioli",11
"Burkholderia sp. JGI",11
"Calescamantes bacterium",11
"Campylobacter lari",11
"Candidatus Campbellbacteria bacterium",11
"Candidatus Harrisonbacteria bacterium",11
"Candidatus Shapirobacteria bacterium",11
"Candidatus Yonathbacteria bacterium",11
"Capnocytophaga sp. oral",11
"Chlamydia pecorum",11
"Citrobacter amalonaticus",11
"Citrobacter braakii",11
"Citrobacter koseri",11
"Corynebacterium striatum",11
"Eikenella corrodens",11
"Elizabethkingia miricola",11
"Enterococcus gallinarum",11
"Enterococcus mundtii",11
"Erysipelotrichaceae bacterium",11
"Kocuria kristinae",11
"Lactobacillus agilis",11
"Mycoplasma capricolum",11
"Opitutae bacterium",11
"Pantoea dispersa",11
"Pediococcus pentosaceus",11
"Peptococcaceae bacterium",11
"Photobacterium damselae",11
"Porphyrobacter donghaensis",11
"Porphyromonadaceae bacterium",11
"Providencia stuartii",11
"Pseudomonadales bacterium",11
"Rhodococcus rhodochrous",11
"Rhodopseudomonas palustris",11
"Rickettsia rickettsii",11
"Rickettsiales bacterium",11
"Streptococcus constellatus",11
"TPA_asm- Brevundimonas",11
"TPA_asm- Eubacterium",11
"TPA_asm- Exiguobacterium",11
"Ureaplasma parvum",11
"Variovorax sp. JGI",11
"Vibrio mimicus",11
"Weissella cibaria",11
"Xanthomonadaceae bacterium",11
"Xenorhabdus bovienii",11
"Acinetobacter johnsonii",10
"Acinetobacter ursingii",10
"Brevibacterium linens",10
"Candidatus Accumulibacter sp.",10
"Candidatus Komeilibacteria bacterium",10
"Candidatus Liberibacter asiaticus",10
"Candidatus Melainabacteria bacterium",10
"Candidatus Terrybacteria bacterium",10
"Clostridium baratii",10
"Clostridium tetani",10
"Clostridium tyrobutyricum",10
"Dickeya zeae",10
"Edwardsiella tarda",10
"Granulibacter bethesdensis",10
"Listeria ivanovii",10
"Neisseria lactamica",10
"Pantoea stewartii",10
"Prochlorococcus sp. MIT",10
"Propionibacteriaceae bacterium",10
"Providencia alcalifaciens",10
"Pseudomonas brassicacearum",10
"Pseudomonas coronafaciens",10
"Pseudomonas viridiflava",10
"Rhizobium etli",10
"Rhodobacter capsulatus",10
"Rhodospirillaceae bacterium",10
"Salinispora tropica",10
"Shewanella baltica",10
"Sorangium cellulosum",10
"Sphingobacteriia bacterium",10
"Taylorella equigenitalis",10
"Terribacillus saccharophilus",10
"TPA_asm- Alistipes",10
"TPA_asm- candidate",10
"TPA_asm- Comamonadaceae",10
"TPA_asm- Empedobacter",10
"TPA_asm- Faecalitalea",10
"TPA_asm- Idiomarina",10
"TPA_asm- Microbacterium",10
"TPA_asm- Myxococcales",10
"TPA_asm- Planctomycetaceae",10
"TPA_asm- Solobacterium",10
"TPA_asm- Synergistaceae",10
"Vibrio fluvialis",10
"Wolbachia pipientis",10
"Xanthomonadales bacterium",10
"Zymomonas mobilis",10
"Acidimicrobiia bacterium",9
"Acinetobacter venetianus",9
"Anaerostipes hadrus",9
"Bacillus sp. JCM",9
"Bacteroides dorei",9
"Bifidobacterium dentium",9
"Borrelia afzelii",9
"Burkholderia glumae",9
"Burkholderia pseudomultivorans",9
"Butyrivibrio fibrisolvens",9
"Campylobacter pinnipediorum",9
"Candidatus Berkelbacteria bacterium",9
"Candidatus Carsonella ruddii",9
"Candidatus Kerfeldbacteria bacterium",9
"Candidatus Spechtbacteria bacterium",9
"Candidatus Synechococcus spongiarum",9
"Carnobacterium maltaromaticum",9
"Caulobacterales bacterium",9
"Cellvibrionales bacterium",9
"Clostridium novyi",9
"Cutibacterium avidum",9
"Cylindrospermopsis raciborskii",9
"Ehrlichia chaffeensis",9
"Ehrlichia ruminantium",9
"Elizabethkingia genomosp.",9
"Enterobacter cancerogenus",9
"Enterobacteriaceae bacterium",9
"Francisella noatunensis",9
"Francisella philomiragia",9
"Halanaerobium congolense",9
"Leuconostoc gelidum",9
"Leuconostoc lactis",9
"Megasphaera elsdenii",9
"Mycobacterium asiaticum",9
"Mycobacterium canettii",9
"Mycoplasma hyopneumoniae",9
"Myroides odoratimimus",9
"Ochrobactrum anthropi",9
"Paenibacillus larvae",9
"Phycisphaerae bacterium",9
"Polynucleobacter asymbioticus",9
"Prevotella intermedia",9
"Pseudomonas fuscovaginae",9
"Pseudomonas lundensis",9
"Pseudomonas mendocina",9
"Raoultella planticola",9
"Rodentibacter pneumotropicus",9
"Rothia dentocariosa",9
"Serratia fonticola",9
"Streptomyces acidiscabies",9
"Streptomyces sp. NBRC",9
"Synechococcus sp. PCC",9
"Teredinibacter turnerae",9
"TPA_asm- Competibacteraceae",9
"TPA_asm- Erythrobacteraceae",9
"TPA_asm- Geobacter",9
"TPA_asm- Methylococcaceae",9
"TPA_asm- Micrococcales",9
"TPA_asm- Pantoea",9
"TPA_asm- Psychrobacter",9
"TPA_asm- Pusillimonas",9
"TPA_asm- Rhodobiaceae",9
"Vibrio sp. JCM",9
"Yersinia mollaretii",9
"[Clostridium] bolteae",8
"Acholeplasma laidlawii",8
"Acidimicrobiaceae bacterium",8
"Agrobacterium rhizogenes",8
"Alloscardovia omnicolens",8
"Anaerolineaceae bacterium",8
"Anaerolineales bacterium",8
"Bacillus stratosphericus",8
"Bdellovibrio bacteriovorus",8
"Bifidobacterium pseudolongum",8
"Brucella ceti",8
"Burkholderia anthina",8
"Candidatus Andersenbacteria bacterium",8
"Candidatus Kryptonium thompsoni",8
"Candidatus Poribacteria bacterium",8
"Candidatus Portiera aleyrodidarum",8
"Candidatus Schekmanbacteria bacterium",8
"Chryseobacterium indologenes",8
"Clostridium acetobutylicum",8
"Desulfuromonadales bacterium",8
"Dorea longicatena",8
"Eisenbergiella tayi",8
"Endosymbiont of",8
"Faecalibacterium prausnitzii",8
"Flavobacteria bacterium",8
"Helicobacter bilis",8
"Lactobacillus mucosae",8
"Leuconostoc citreum",8
"Lysinibacillus fusiformis",8
"Methylococcaceae bacterium",8
"Moraxellaceae bacterium",8
"Oblitimonas alkaliphila",8
"Ochrobactrum intermedium",8
"Pediococcus damnosus",8
"Phaeobacter gallaeciensis",8
"Photobacterium kishitanii",8
"Planctomycetaceae bacterium",8
"Prevotella bivia",8
"Providencia rettgeri",8
"Pseudomonas nitroreducens",8
"Rhodobacter sphaeroides",8
"Ruminiclostridium thermocellum",8
"Ruminococcus albus",8
"Selenomonas sp. oral",8
"Shewanella algae",8
"Streptococcus infantis",8
"Streptomyces albidoflavus",8
"Streptomyces lavendulae",8
"Synechocystis sp. PCC",8
"Synergistales bacterium",8
"Tannerella forsythia",8
"TPA_asm- Acidobacteria",8
"TPA_asm- Aequorivita",8
"TPA_asm- Atopobium",8
"TPA_asm- Betaproteobacteria",8
"TPA_asm- Desulfobacteraceae",8
"TPA_asm- Desulfobulbaceae",8
"TPA_asm- Enhydrobacter",8
"TPA_asm- Lentisphaeria",8
"TPA_asm- Megasphaera",8
"TPA_asm- Microbacteriaceae",8
"TPA_asm- Rhodocyclaceae",8
"Veillonella parvula",8
"Vibrio fischeri",8
"Vibrio jasicida",8
"zeta proteobacterium",8
"Acetobacter malorum",7
"Acidithiobacillus caldus",7
"Acinetobacter bereziniae",7
"Acinetobacter indicus",7
"Aggregatibacter aphrophilus",7
"Aliivibrio wodanis",7
"Arcobacter cryaerophilus",7
"Bacillus marisflavi",7
"Bacteroides cellulosilyticus",7
"Berkelbacteria bacterium",7
"Blautia obeum",7
"Borrelia hermsii",7
"Brevibacillus brevis",7
"Brevibacillus laterosporus",7
"Brevundimonas diminuta",7
"Burkholderia contaminans",7
"Candidatus Acetothermia bacterium",7
"Candidatus Liberibacter solanacearum",7
"Candidatus Raymondbacteria bacterium",7
"Candidatus Vogelbacteria bacterium",7
"Capnocytophaga canimorsus",7
"Cellulosimicrobium cellulans",7
"Chitinophagaceae bacterium",7
"Chromobacterium subtsugae",7
"Clostridium saccharobutylicum",7
"Corynebacterium aurimucosum",7
"Cupriavidus metallidurans",7
"Delftia acidovorans",7
"Demequina sp. NBRC",7
"Desulfitobacterium hafniense",7
"Enterobacter aerogenes",7
"Enterococcus durans",7
"Escherichia fergusonii",7
"Flavonifractor plautii",7
"Gallibacterium genomosp.",7
"Hungatella hathewayi",7
"Janthinobacterium lividum",7
"Kocuria rhizophila",7
"Komagataeibacter hansenii",7
"Lactobacillus amylovorus",7
"Lactobacillus gallinarum",7
"Lactobacillus kefiranofaciens",7
"Lactobacillus paralimentarius",7
"Leclercia adecarboxylata",7
"Leptospirillum ferriphilum",7
"Listeria innocua",7
"Methylobacterium extorquens",7
"Methylobacterium radiotolerans",7
"Microbacterium sp. SCN",7
"Moraxella bovoculi",7
"Mycobacterium malmoense",7
"Mycoplasma hyorhinis",7
"Mycoplasma hyosynoviae",7
"Nocardia seriolae",7
"Opitutaceae bacterium",7
"Oxalobacteraceae bacterium",7
"Paenibacillus peoriae",7
"Pandoraea pnomenusa",7
"Pantoea vagans",7
"Peptostreptococcus anaerobius",7
"Photobacterium leiognathi",7
"Prevotella ruminicola",7
"Pseudomonas corrugata",7
"Pseudomonas parafulva",7
"Rhodococcus opacus",7
"Rhodococcus pyridinivorans",7
"Rhodococcus qingshengii",7
"SAR202 cluster",7
"Sphingobium yanoikuyae",7
"Sphingomonas sp. JGI",7
